FileIndex, #Vertices, #Edges, #Terminals, #ArtiPoints, Time(ms)
74, 640, 4135, 160, 0, 2
75, 640, 40896, 160, 0, 38
76, 640, 40896, 160, 0, 28
77, 640, 204480, 160, 0, 108
78, 640, 204480, 160, 0, 107
79, 38418, 71657, 172, 0, 47
80, 666, 221445, 174, 0, 119
81, 44624, 56205, 190, 57, 169
82, 80736, 98750, 191, 88, 68
83, 2200, 7997, 200, 164, 7
84, 2200, 7997, 200, 164, 7
85, 1200, 10002, 200, 0, 7
86, 1200, 10002, 200, 0, 7
87, 7527, 18170, 200, 6, 15
88, 15473, 38928, 200, 2, 43
89, 33901, 62816, 204, 6, 39
90, 2187, 15308, 222, 0, 10
91, 2187, 15308, 222, 0, 10
92, 2048, 11263, 244, 0, 6
93, 2048, 11263, 244, 0, 5
94, 512, 2304, 256, 0, 1
95, 512, 2304, 256, 0, 0
96, 3300, 18073, 300, 81, 18
97, 3300, 18073, 300, 81, 18
98, 9113, 14491, 301, 32, 9
99, 8755, 14449, 347, 2, 9
100, 13189, 21219, 358, 28, 13
101, 9287, 14975, 363, 13, 9
102, 10398, 16787, 367, 13, 11
103, 50002, 65203, 386, 48, 35
104, 16013, 25269, 392, 206, 16
105, 783, 2262, 406, 0, 1
106, 86413, 108872, 419, 74, 75
107, 14685, 23466, 421, 10, 15
108, 13694, 22126, 427, 4, 14
109, 12715, 20632, 475, 31, 12
110, 15095, 24091, 478, 12, 15
111, 12355, 19962, 503, 37, 12
112, 1024, 5120, 512, 0, 2
113, 1024, 5120, 512, 0, 2
114, 15592, 24788, 515, 32, 16
115, 9574, 16208, 543, 10, 11
116, 34046, 54841, 544, 10, 35
117, 79244, 101189, 550, 52, 74
118, 15038, 24596, 551, 44, 16
119, 1081, 3174, 552, 0, 1
120, 19867, 31271, 565, 71, 15
121, 5556, 8552, 570, 12, 6
122, 13332, 21580, 570, 29, 13
123, 21808, 34921, 594, 54, 22
124, 14023, 22895, 598, 78, 14
125, 20547, 33230, 627, 16, 21
126, 18555, 29730, 636, 5, 20
127, 13316, 22033, 653, 34, 14
128, 22311, 35516, 735, 50, 22
129, 15122, 24371, 737, 6, 15
130, 60446, 82940, 803, 43, 56
131, 13294, 21948, 835, 20, 14
132, 25946, 41645, 866, 14, 27
133, 15714, 25567, 871, 18, 16
134, 36711, 68117, 879, 0, 41
135, 25081, 40739, 888, 33, 26
136, 18242, 28976, 891, 14, 18
137, 97928, 128632, 902, 72, 86
138, 85568, 114113, 938, 59, 76
139, 29905, 47457, 943, 21, 30
140, 23412, 37952, 945, 98, 25
141, 30857, 49591, 990, 25, 32
142, 26948, 44194, 993, 15, 28
143, 2676, 3894, 1000, 386, 2
144, 2834, 4207, 1000, 311, 3
145, 2865, 4267, 1000, 316, 3
146, 2984, 4484, 1000, 292, 3
147, 62174, 87562, 1015, 32, 58
148, 2048, 11264, 1024, 0, 6
149, 2048, 11264, 1024, 0, 5
150, 30190, 47748, 1184, 10, 31
151, 42008, 67572, 1242, 103, 43
152, 23527, 39628, 1256, 52, 24
153, 33188, 53680, 1263, 166, 34
154, 33203, 54427, 1494, 64, 33
155, 33118, 55127, 1553, 55, 35
156, 33231, 55149, 1569, 47, 35
157, 26840, 43661, 1645, 24, 28
158, 49920, 77871, 1665, 28, 50
159, 30585, 50454, 1704, 25, 24
160, 40389, 65820, 1762, 39, 42
161, 72701, 115430, 1790, 16, 78
162, 21653, 35171, 1847, 7, 23
163, 117756, 165153, 1879, 71, 109
164, 31121, 51113, 1898, 26, 33
165, 88728, 133625, 2041, 36, 68
166, 4096, 24576, 2048, 0, 16
167, 4096, 24576, 2048, 0, 18
168, 111707, 160504, 2052, 57, 105
169, 69988, 111804, 2162, 36, 73
170, 51896, 85550, 2171, 70, 54
171, 54351, 88211, 2182, 126, 239
172, 31754, 52875, 2202, 10, 33
173, 44934, 73727, 2319, 265, 46
174, 34479, 55494, 2344, 0, 35
175, 48833, 79987, 2493, 46, 52
176, 43073, 71276, 2868, 24, 46
177, 57551, 95381, 2973, 141, 60
178, 147718, 214176, 2992, 81, 123
179, 68464, 108732, 3001, 54, 71
180, 56023, 91399, 3017, 79, 58
181, 135543, 201803, 3033, 56, 174
182, 44482, 73419, 3222, 56, 47
183, 120866, 187312, 3224, 32, 124
184, 47429, 79307, 3334, 20, 50
185, 66048, 110491, 3343, 902, 294
186, 68905, 113889, 3358, 68, 73
187, 63158, 107345, 3458, 2, 68
188, 70843, 117209, 3598, 25, 76
189, 172687, 255825, 3902, 84, 131
190, 158212, 240022, 3914, 52, 158
191, 85085, 138888, 3954, 29, 68
192, 72038, 115055, 4391, 101, 74
193, 17127, 27352, 4461, 770, 17
194, 196404, 300036, 4937, 83, 286
195, 89596, 148583, 4991, 159, 94
196, 204621, 318136, 5556, 52, 846
197, 235686, 366093, 6313, 86, 364
198, 27019, 39407, 10000, 3360, 27
199, 18245, 36038, 17795, 0, 83
200, 18282, 36112, 17832, 0, 216
