FileIndex, #Vertices, #Edges, #Terminals, #ArtiPoints, Time(ms)
70, 64, 192, 12, 0, 0
71, 233, 386, 12, 6, 0
72, 313, 532, 12, 0, 1
73, 386, 653, 12, 8, 1
74, 539, 985, 12, 0, 0
75, 818, 1462, 12, 0, 0
76, 1704, 2991, 12, 13, 2
77, 1981, 3633, 12, 0, 2
78, 3031, 5239, 12, 23, 3
79, 4045, 7094, 12, 4, 5
80, 4221, 7255, 12, 10, 4
81, 110, 188, 13, 5, 1
82, 339, 579, 13, 0, 0
83, 346, 583, 13, 2, 1
84, 311, 613, 13, 3, 0
85, 125, 750, 13, 0, 0
86, 125, 750, 13, 0, 0
87, 125, 750, 13, 0, 1
88, 777, 1358, 13, 0, 1
89, 933, 1632, 13, 5, 1
90, 1128, 1905, 13, 0, 1
91, 1359, 2458, 13, 2, 1
92, 128, 247, 14, 3, 0
93, 165, 274, 14, 0, 0
94, 145, 283, 14, 0, 1
95, 418, 723, 14, 0, 1
96, 468, 822, 14, 0, 0
97, 1196, 2084, 14, 4, 1
98, 138, 257, 15, 3, 0
99, 193, 369, 15, 0, 1
100, 204, 374, 16, 3, 0
101, 311, 579, 16, 1, 1
102, 391, 666, 16, 2, 0
103, 402, 690, 16, 2, 1
104, 499, 861, 16, 4, 1
105, 712, 1217, 16, 8, 1
106, 52, 1326, 16, 0, 0
107, 837, 1438, 16, 8, 1
108, 822, 1466, 16, 0, 0
109, 1051, 1791, 16, 10, 1
110, 1442, 2403, 16, 10, 1
111, 1848, 3286, 16, 3, 2
112, 2961, 5100, 16, 12, 3
113, 6405, 10454, 16, 31, 9
114, 7998, 14734, 16, 0, 10
115, 122, 194, 17, 0, 0
116, 177, 354, 17, 5, 0
117, 220, 374, 17, 6, 0
118, 223, 404, 17, 2, 0
119, 310, 514, 17, 0, 0
120, 342, 552, 17, 0, 0
121, 343, 559, 17, 0, 1
122, 429, 702, 17, 2, 1
123, 2039, 3548, 17, 7, 2
124, 2333, 4137, 17, 8, 2
125, 211, 380, 18, 4, 0
126, 1005, 1731, 18, 7, 1
127, 1709, 2963, 18, 12, 2
128, 2050, 3676, 18, 5, 2
129, 3738, 7013, 18, 5, 4
130, 119, 206, 19, 2, 1
131, 189, 353, 19, 7, 0
132, 245, 454, 20, 2, 0
133, 321, 540, 20, 0, 0
134, 1989, 3641, 20, 0, 2
135, 3683, 6717, 20, 0, 4
136, 237, 444, 21, 6, 0
137, 529, 1032, 21, 8, 1
138, 735, 1256, 21, 5, 1
139, 770, 1383, 21, 3, 1
140, 4640, 8255, 21, 0, 5
141, 233, 431, 22, 4, 0
142, 294, 568, 22, 2, 0
143, 828, 1472, 22, 0, 0
144, 4186, 7074, 22, 8, 4
145, 132, 230, 23, 3, 0
146, 257, 515, 23, 0, 1
147, 3983, 7108, 23, 5, 5
148, 262, 487, 24, 3, 0
149, 493, 963, 24, 10, 0
150, 7231, 13727, 24, 7, 8
151, 8007, 14743, 24, 0, 9
152, 19083, 35636, 24, 0, 23
153, 246, 468, 25, 3, 0
154, 422, 808, 25, 0, 1
155, 58, 1653, 25, 0, 1
156, 1994, 3646, 25, 0, 2
157, 2213, 4135, 25, 7, 3
158, 2414, 4386, 25, 4, 2
159, 3636, 6789, 25, 4, 4
160, 5349, 10086, 25, 0, 6
161, 640, 40896, 25, 0, 39
162, 640, 40896, 25, 0, 39
163, 640, 40896, 25, 0, 38
164, 640, 40896, 25, 0, 21
165, 640, 40896, 25, 0, 39
166, 402, 780, 26, 11, 0
167, 396, 781, 26, 0, 0
168, 752, 1264, 26, 0, 1
169, 243, 497, 27, 0, 1
170, 370, 721, 27, 3, 1
171, 243, 1215, 27, 0, 1
172, 243, 1215, 27, 0, 0
173, 243, 1215, 27, 0, 1
174, 272, 545, 28, 0, 0
175, 307, 559, 28, 3, 0
176, 3692, 6726, 28, 0, 4
177, 245, 436, 29, 11, 0
178, 247, 505, 29, 0, 0
179, 1724, 2975, 29, 17, 2
180, 467, 896, 30, 3, 0
181, 8013, 14749, 30, 0, 10
182, 323, 592, 31, 5, 0
183, 1199, 2078, 31, 15, 1
184, 10553, 20066, 32, 0, 13
185, 437, 838, 33, 5, 1
186, 840, 1484, 34, 0, 0
187, 1244, 2474, 34, 6, 2
188, 435, 818, 36, 9, 0
189, 8017, 14753, 36, 0, 9
190, 1011, 2010, 37, 2, 1
191, 2132, 3702, 37, 5, 2
192, 11749, 22384, 37, 0, 15
193, 603, 1207, 38, 3, 0
194, 703, 1616, 39, 3, 0
195, 550, 5013, 50, 0, 5
196, 729, 4368, 76, 0, 2
197, 10393, 18043, 104, 44, 11
198, 6466, 11046, 128, 12, 7
199, 6163, 10490, 130, 7, 6
200, 6836, 11715, 136, 2, 8
